object_id,ra,dec,flux_y_sersic,flux_j_sersic,flux_h_sersic,spe_class,spe_qso_prob,spe_z
-527800970283552724,52.78009707868272,-28.35527243384333,1219.1583,1219.1547,1219.1602,qso,1,4.625502
-526993544282559505,52.69935440265893,-28.25595051416883,22.79414,25.874043,34.98652,qso,1,1.818797
-528732575284792862,52.87325756827065,-28.47928622127777,7.953754,13.96868,20.496342,qso,1,1.7685125
-528294887284791074,52.82948879908461,-28.47910740933445,4.267268,4.842214,5.6912484,qso,1,7.9648395
-527837788284674903,52.78377884316846,-28.46749035207246,24.51186,37.047718,57.53589,qso,1,5.6346784
-527562344284654255,52.75623447200536,-28.46542555577945,47.81327,67.03482,88.558975,qso,1,6.303182
-528021175284547839,52.80211758187771,-28.45478398621846,33.239307,46.96133,59.10128,qso,1,4.3404512
-527303136284523035,52.73031362979406,-28.45230359836705,11.211272,13.350107,14.266467,qso,1,1.6920694
-527197079284454247,52.71970799024201,-28.44542475370974,3.2468047,4.2669263,5.204964,qso,1,5.2233615
-529016851284351981,52.90168515870469,-28.43519811885982,12.55315,18.838081,26.701963,qso,1,0.95875716
-527565186284409672,52.75651860023586,-28.44096721219128,64.96785,86.200905,104.61579,qso,1,5.3490815
-528988461284318813,52.89884617566393,-28.43188135053582,12.919473,18.13327,26.00367,qso,1,1.8329263
-527735828284295864,52.77358280709933,-28.4295864786679,5.3990498,10.228604,15.840611,qso,1,7.9558787
-527322558284344781,52.73225580225996,-28.43447818425104,6.6377015,7.785063,8.768664,qso,1,5.8916473
-527630318284287026,52.7630318582425,-28.42870262488205,88.673744,114.96312,138.9993,qso,1,4.97934
-527336524284240855,52.73365242445806,-28.42408551861323,17.861027,26.03919,36.648697,qso,1,7.234315
-527331891284239380,52.73318917401119,-28.42393802967954,2.764357,4.1952367,9.728889,qso,1,7.1360936
-527288490284249380,52.72884909157105,-28.42493802820371,11.683989,18.65392,30.029543,qso,1,7.2508
-528299169284170852,52.82991695258659,-28.41708528056441,6.6945276,12.118133,18.918472,qso,1,7.014963
